"ADMIN1NAME","ADMIN2NAME","POP","YEAR"
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","SHEKA",191872,2004
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","SIDAMA",2826421,2004
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","SILTI",964495,2004
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","SOUTH OMO",534172,2004
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","WOLAYITA",1499200,2004
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","YEM SPECIAL WEREDA",618920,2004
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","YEM SPECIAL ZONE",65970,2004
"ADIS ABEBA","ADDIS KETEMA",269417,2005
"ADIS ABEBA","AKAKI KALITI",176062,2005
"ADIS ABEBA","ARADA",233126,2005
"ADIS ABEBA","BOLE",294761,2005
"ADIS ABEBA","GULELE",282704,2005
"ADIS ABEBA","KIRKOS",233307,2005
"ADIS ABEBA","KOLFE KERANIYO",404803,2005
"ADIS ABEBA","LIDETA",212869,2005
"ADIS ABEBA","NEFAS SILK-LAFTO",336934,2005
"ADIS ABEBA","YEKA",333780,2005
"AFAR","ZONE 1",413147,2005
"AFAR","ZONE 2",336839,2005
"AFAR","ZONE 3",196610,2005
"AFAR","ZONE 4",231602,2005
"AFAR","ZONE 5",206672,2005
"AMARA","ARGOBA SPECIAL ZONE",36052,2005
"AMARA","AWI-ZONE",1002684,2005
"AMARA","BAHIR DAR SPECIAL ZONE",207766,2005
"AMARA","EAST GOJJAM",2199290,2005
"AMARA","NORTH GONDAR",2943786,2005
"AMARA","NORTH SHEWA",1905935,2005
"AMARA","NORTH WELLO",1544692,2005
"AMARA","OROMIYA",478548,2005
"AMARA","SOUTH GONDAR",2122360,2005
"AMARA","SOUTH WELLO",2606454,2005
"AMARA","WAGHEMIRA",429355,2005
"AMARA","WEST GOJJAM",2175938,2005
"BINSHANGUL GUMUZ","ASOSSA",304448,2005
"BINSHANGUL GUMUZ","KEMASHI",187077,2005
"BINSHANGUL GUMUZ","METEKEL",270272,2005
"DIR? DAWA","DIR? DAWA",321149,2005
"DIR? DAWA","DIR? DAWA TOWN",24220,2005
"GAMB?LA HIZBOCH","AGNEWAK",97094,2005
"GAMB?LA HIZBOCH","MEZHENGER",95312,2005
"GAMB?LA HIZBOCH","NUWER",109871,2005
"HARERI HIZB","HARERI HIZB",185178,2005
"OROMIYA","ADAMA SPECIAL ZONE",221415,2005
"OROMIYA","ARSI",2660126,2005
"OROMIYA","BALE",1370514,2005
"OROMIYA","BORENA",949556,2005
"OROMIYA","BURAYU SPECIAL ZONE",63215,2005
"OROMIYA","EAST HARARGE",2725618,2005
"OROMIYA","EAST SHEWA",1365500,2005
"OROMIYA","EAST WELLEGA",1219029,2005
"OROMIYA","GUJI",1353312,2005
