"Year","Region","Zone","Category","Number.of.holders","Area.in.hectare","Production.in.quintal","Yqth"
"2008","Oromiya","East Wellega","Root Crops",118569,1858.55,170337.06,288.36
"2011","Oromiya","East Wellega","Root Crops",107988,1439.58,139435.28,461.49
"2012","Oromiya","East Wellega","Root Crops",152142,1979.93,190935.96,461.48
"2013","Oromiya","East Wellega","Root Crops",166505,1875.31,145651.51,726.59
"2014","Oromiya","East Wellega","Root Crops",120891,1212.14,23839.18,111.71
"2015","Oromiya","East Wellega","Root Crops",100009,2122.74,893164.26,1032.28
"2016","Oromiya","East Wellega","Root Crops",119992,1847.83,677878.6,1032.45
"2007","Oromiya ","East Wellega","Root Crops",69171,341.11,33835.03,397.98
"2009","Oromiya ","East Wellega","Root Crops",149882,1616.95,156121.61,304.13
"2005","Tigray","Eastern Tigray","Root Crops",25770,79,12268,306.13
"2006","Tigray","Eastern Tigray","Root Crops",15421,358.01,39489.86,419.92
"2007","Tigray","Eastern Tigray","Root Crops",38557,189.75,11641.1,256.07
"2008","Tigray","Eastern Tigray","Root Crops",44159,349.05,40946.39,369.69
"2009","Tigray","Eastern Tigray","Root Crops",38714,101.82,12853.14,254.51
"2011","Tigray","Eastern Tigray","Root Crops",21908,251.18,29640.92,265.4
"2012","Tigray","Eastern Tigray","Root Crops",27652,236.12,33124.21,283.04
"2013","Tigray","Eastern Tigray","Root Crops",23088,437.85,4327.29,150.67
"2014","Tigray","Eastern Tigray","Root Crops",22474,46.02,5523.03,241.98
"2015","Tigray","Eastern Tigray","Root Crops",18924,0,0,0
"2016","Tigray","Eastern Tigray","Root Crops",16314,17.43,6234.51,0
"2009","Gambella","Etang Spe.","Root Crops",672,12.57,0,79.97
"2011","Gambella","Etang Spe.","Root Crops",201,0,0,0
"2013","Gambella","Etang Spe.","Root Crops",457,98.05,642.8,128.05
"2014","Gambella","Etang Spe.","Root Crops",610,6.49,830.88,128.02
"2015","Gambella","Etang Spe.","Root Crops",610,6.49,830.88,128.02
"2016","Gambella","Etang Spe.","Root Crops",333,9.02,0,0
"2005","SNNP","Gamo Gofa","Root Crops",252227,10499,975946,407.42
"2006","SNNP","Gamo Gofa","Root Crops",295103,11995.61,1170897.89,462.93
"2007","SNNP","Gamo Gofa","Root Crops",311636,10960.9,890142.07,450.74
"2008","SNNP","Gamo Gofa","Root Crops",360474,13000.58,1160110.39,422.47
"2011","SNNP","Gamo Gofa","Root Crops",341500,11036.88,1007771.69,175.92
"2012","SNNP","Gamo Gofa","Root Crops",484382,12341.51,1125635.72,307.84
"2013","SNNP","Gamo Gofa","Root Crops",606196,18993.49,4105581.18,762.53
"2014","SNNP","Gamo Gofa","Root Crops",546912,17052.69,3714903.95,648
"2015","SNNP","Gamo Gofa","Root Crops",449889,12806.5,2621850.41,590.83
"2016","SNNP","Gamo Gofa","Root Crops",567392,12389.94,2888090.05,525.21
"2005","SNNP","Gedeo","Root Crops",41561,711,72677,319.91
"2006","SNNP","Gedeo","Root Crops",38451,724.41,75839.31,483.63
"2007","SNNP","Gedeo","Root Crops",40053,518.42,60763.41,231.37
"2008","SNNP","Gedeo","Root Crops",44878,323.75,34623.08,107.21
"2011","SNNP","Gedeo","Root Crops",72986,730.24,80362.58,110.05
"2012","SNNP","Gedeo","Root Crops",69231,1129,120181.76,308.91
"2013","SNNP","Gedeo","Root Crops",75037,1198.05,159372.7,330.87
"2014","SNNP","Gedeo","Root Crops",89799,1092.47,122968.62,246
"2015","SNNP","Gedeo","Root Crops",82472,515.56,62268.63,158.1
"2016","SNNP","Gedeo","Root Crops",96849,1213.52,106360.63,221.23
"2005","Oromiya","Guji","Root Crops",35871,696,44953,231.73
"2006","Oromiya","Guji","Root Crops",22201,521.69,16947.48,88
"2007","Oromiya","Guji","Root Crops",29441,592.74,20752.08,93.64
"2008","Oromiya","Guji","Root Crops",15649,413.8,40791.77,215.32
"2011","Oromiya","Guji","Root Crops",15598,288.54,22762.83,78.89
"2012","Oromiya","Guji","Root Crops",31702,723.22,65888.07,180.58
"2013","Oromiya","Guji","Root Crops",30333,581.95,82054.94,141
"2014","Oromiya","Guji","Root Crops",27792,808.58,107899.61,266
"2015","Oromiya","Guji","Root Crops",24620,602.15,85647.88,286.02
"2016","Oromiya","Guji","Root Crops",30886,633.9,85955.18,270.06
"2009","Oromiya ","Guji","Root Crops",24714,356.76,27748.74,77.78
"2005","SNNP","Gurage","Root Crops",201628,1747,150879,301.24
"2006","SNNP","Gurage","Root Crops",179878,2410.76,203656.12,354.9
"2007","SNNP","Gurage","Root Crops",179412,2839.15,219809.66,217.71
"2008","SNNP","Gurage","Root Crops",178124,2362.8,204092.96,395.22
"2011","SNNP","Gurage","Root Crops",159896,1328.35,116276.17,378.53
"2012","SNNP","Gurage","Root Crops",177011,1708.33,148692.43,292.84
"2013","SNNP","Gurage","Root Crops",173666,530.19,153582,400.47
"2014","SNNP","Gurage","Root Crops",125715,891.05,231621.66,515
"2015","SNNP","Gurage","Root Crops",56813,578.94,164696.03,681.54
"2016","SNNP","Gurage","Root Crops",122385,539.54,191166.42,411.69
"2005","SNNP","Hadiya","Root Crops",178764,2462,244249,704.69
"2006","SNNP","Hadiya","Root Crops",145475,3021.58,301333.38,774.55
"2007","SNNP","Hadiya","Root Crops",168947,3111.34,290515.02,582.17
"2008","SNNP","Hadiya","Root Crops",162734,2022.22,153934.99,390.44
"2011","SNNP","Hadiya","Root Crops",202627,2704.89,262509.38,566.21
"2012","SNNP","Hadiya","Root Crops",216038,3817.33,298950.59,277.42
"2013","SNNP","Hadiya","Root Crops",162865,3729.16,940155.9,623.67
"2014","SNNP","Hadiya","Root Crops",128291,2765.21,742621.34,616.35
"2015","SNNP","Hadiya","Root Crops",182476,3809.32,959954.94,579.77
"2016","SNNP","Hadiya","Root Crops",140572,3314.02,871187.1,574.29
"2006","Harari","Harer","Root Crops",3528,153.85,7345.76,81
"2012","Harari","Harer","Root Crops",2889,114.62,8178.85,84.43
"2008","Oromiya","Horo Gudru Wellega","Root Crops",73655,249.07,28310.63,405.83
"2011","Oromiya","Horo Gudru Wellega","Root Crops",58277,292.88,36075,309.93
"2012","Oromiya","Horo Gudru Wellega","Root Crops",80766,465.18,50257.06,589.81
"2013","Oromiya","Horo Gudru Wellega","Root Crops",121101,616.36,72461.87,533.27
"2014","Oromiya","Horo Gudru Wellega","Root Crops",121365,814.79,103030.03,577.3
"2015","Oromiya","Horo Gudru Wellega","Root Crops",81747,201.65,19726.48,369.77
"2016","Oromiya","Horo Gudru Wellega","Root Crops",83151,253,65552.44,495.64
"2007","Oromiya ","Horo Gudru Wellega","Root Crops",72971,630.38,49115.68,509.05
"2009","Oromiya ","Horo Gudru Wellega","Root Crops",96054,372.73,43569.07,291.81
"2005","Oromiya","Ilu Aba Bora","Root Crops",161324,960,98892,564.7
"2006","Oromiya","Ilu Aba Bora","Root Crops",149005,1613.96,120124.83,521.41
"2008","Oromiya","Ilu Aba Bora","Root Crops",166484,2598.7,227449.7,453.65
"2011","Oromiya","Ilu Aba Bora","Root Crops",162807,2182.51,189142.8,530.77
"2012","Oromiya","Ilu Aba Bora","Root Crops",237722,1880.14,166817.1,473.86
"2013","Oromiya","Ilu Aba Bora","Root Crops",246079,1936.51,390248,731.95
"2014","Oromiya","Ilu Aba Bora","Root Crops",230810,1700.66,317564.92,575.35
"2015","Oromiya","Ilu Aba Bora","Root Crops",135858,1724.93,382917.82,620.48
"2016","Oromiya","Ilu Aba Bora","Root Crops",233284,2113.13,462951.61,786.54
"2007","Oromiya ","Ilu Aba Bora","Root Crops",156286,1577.47,122280.94,530.91
"2009","Oromiya ","Ilu Aba Bora","Root Crops",217360,2444.48,208806.07,591.31
"2005","Somali","Jijiga","Root Crops",17754,985,62424,270.75
"2006","Somali","Jijiga","Root Crops",6325,253.57,13121.9,254.81
"2012","Somali","Jijiga","Root Crops",4924,715.81,102633.09,143.38
"2013","Somali","Jijiga","Root Crops",3264,0,0,0
"2014","Somali","Jijiga","Root Crops",6043,1023.67,114068.64,111.43
"2015","Somali","Jijiga","Root Crops",5476,664.05,85751.9,129.13
"2016","Somali","Jijiga","Root Crops",7369,1720.05,157498.86,91.57
"2005","Oromiya","Jimma","Root Crops",376496,6711,557961,578.92
"2006","Oromiya","Jimma","Root Crops",325284,8093.46,466532.36,480.07
"2008","Oromiya","Jimma","Root Crops",381094,9661.9,576620.17,241.29
"2011","Oromiya","Jimma","Root Crops",327717,5705.17,338850.09,218.33
"2012","Oromiya","Jimma","Root Crops",500831,6586.99,371040.34,434.46
"2013","Oromiya","Jimma","Root Crops",522508,4582.27,1070257.79,666.31
"2014","Oromiya","Jimma","Root Crops",454599,5040.68,1171788.99,845.86
"2015","Oromiya","Jimma","Root Crops",413270,4799.85,1272803.18,613.27
"2016","Oromiya","Jimma","Root Crops",546941,6394.62,1166146.86,699.84
"2007","Oromiya ","Jimma","Root Crops",382074,7984.66,522705.56,247.53
"2005","Benishangul Gumuz","Kamashi","Root Crops",4038,62,5772,102.04
"2006","Benishangul Gumuz","Kamashi","Root Crops",4195,49.56,4655.93,237.12
"2007","Benishangul Gumuz","Kamashi","Root Crops",5525,89.8,7861.31,87.54
"2008","Benishangul Gumuz","Kamashi","Root Crops",6465,91.04,9191.44,100.96
"2009","Benishangul Gumuz","Kamashi","Root Crops",1357,6.02,481.76,80.03
"2011","Benishangul Gumuz","Kamashi","Root Crops",2738,35.15,3682.53,104.77
"2012","Benishangul Gumuz","Kamashi","Root Crops",6773,72.02,7545.82,104.77
"2013","Benishangul Gumuz","Kamashi","Root Crops",7597,56.92,7985.86,142.99
"2014","Benishangul Gumuz","Kamashi","Root Crops",4673,1.07,145.42,135.91
"2015","Benishangul Gumuz","Kamashi","Root Crops",5219,125.11,20445.13,163.42
"2016","Benishangul Gumuz","Kamashi","Root Crops",5248,62.11,10576.97,170.29
"2005","SNNP","Kefa","Root Crops",109723,1732,150256,444.72
"2006","SNNP","Kefa","Root Crops",115729,2490.47,134122.89,688.34
"2007","SNNP","Kefa","Root Crops",136248,2743.62,176697.17,574.47
"2008","SNNP","Kefa","Root Crops",177781,3345.81,237954.06,71.12
"2011","SNNP","Kefa","Root Crops",161747,3742.91,283100.03,437.92
"2012","SNNP","Kefa","Root Crops",181119,3258.78,252317.45,458.74
"2013","SNNP","Kefa","Root Crops",199162,4468.65,1106780.5,526.77
"2014","SNNP","Kefa","Root Crops",241577,4250.92,1033394.67,655.01
"2015","SNNP","Kefa","Root Crops",218351,4274.02,1075528.62,616.46
"2016","SNNP","Kefa","Root Crops",263759,3537.76,851203.96,376.66
"2008","Oromiya","Kelem","Root Crops",74046,1338.42,110744.23,291.54
"2007","Oromiya ","Kelem","Root Crops",66224,888.01,69853.06,547.53
"2009","Oromiya ","Kelem","Root Crops",108257,1412.81,116159.16,164.78
"2005","SNNP","Kembata Timbaro","Root Crops",149287,5108,482692,534.8
"2006","SNNP","Kembata Timbaro","Root Crops",150663,5243.36,470936.46,638.78
"2007","SNNP","Kembata Timbaro","Root Crops",140727,4793.46,421764.93,336.68
"2008","SNNP","Kembata Timbaro","Root Crops",153581,6400.59,589007.01,377.49
"2011","SNNP","Kembata Timbaro","Root Crops",166645,7067.75,658002.65,597.16
"2012","SNNP","Kembata Timbaro","Root Crops",167600,5392.35,492008.51,535.82
"2013","SNNP","Kembata Timbaro","Root Crops",136869,3617.45,777682.56,830.81
"2014","SNNP","Kembata Timbaro","Root Crops",121093,3245.3,683229.39,718.68
"2015","SNNP","Kembata Timbaro","Root Crops",158309,5488.15,1080480.39,794.83
"2016","SNNP","Kembata Timbaro","Root Crops",155271,4607.66,850707.03,796.55
"2008","SNNP","Konso","Root Crops",3213,51.84,3456.09,66.67
"2009","SNNP","Konso","Root Crops",921,3.48,502.2,144.31
"2005","SNNP","Konso ","Root Crops",593,0,0,0
"2006","SNNP","Konso ","Root Crops",2944,25.31,2766.53,440.12
"2007","SNNP","Konso ","Root Crops",1434,0,0,0
"2011","SNNP","Konso ","Root Crops",4153,24.86,1719.8,69.18
"2012","SNNP","Konso ","Root Crops",3272,28.97,2003.97,69.17
"2005","SNNP","Konta","Root Crops",15341,1258,101899,271.46
"2006","SNNP","Konta","Root Crops",16594,1433.95,229214.69,322.58
"2007","SNNP","Konta","Root Crops",19048,1584.85,178197.81,272.84
"2008","SNNP","Konta","Root Crops",25341,2131.69,222732.67,204.25
"2009","SNNP","Konta","Root Crops",22033,1510.61,157688.2,204.25
"2011","SNNP","Konta","Root Crops",31565,2126,228154.78,327
"2012","SNNP","Konta","Root Crops",27868,1793.7,192750.56,107.46
"2013","SNNP","Konta","Root Crops",35175,1738.12,454925.77,568.43
"2014","SNNP","Konta","Root Crops",36095,2166.74,568151.85,477
"2015","SNNP","Konta","Root Crops",39383,1936.81,453562.05,524.79
"2016","SNNP","Konta","Root Crops",43815,2278.02,445344.36,291.15
"2006","Somali","Liben","Root Crops",48,2.27,10.21,4.5
"2008","Benishangul Gumuz","Maokomo ","Root Crops",4799,75.7,0,0
"2009","Benishangul Gumuz","Maokomo ","Root Crops",850,12.07,0,0
"2011","Benishangul Gumuz","Maokomo ","Root Crops",9536,168.68,17546,286.62
"2012","Benishangul Gumuz","Maokomo ","Root Crops",11095,179.05,18709.59,286.63
"2013","Benishangul Gumuz","Maokomo ","Root Crops",10025,139.37,22488.58,562.09
"2014","Benishangul Gumuz","Maokomo ","Root Crops",9959,136.26,19598.25,691.21
"2015","Benishangul Gumuz","Maokomo ","Root Crops",9504,119.34,19484.37,575.08
"2016","Benishangul Gumuz","Maokomo ","Root Crops",11265,152.86,23854.17,588.17
"2011","Gambella","Mejenger","Root Crops",7962,129.98,11787.88,185.89
"2012","Gambella","Mejenger","Root Crops",6608,101,8690.53,185.92
"2013","Gambella","Mejenger","Root Crops",5537,74.78,20938.82,280.01
"2014","Gambella","Mejenger","Root Crops",11876,147.81,40534.39,279.99
"2015","Gambella","Mejenger","Root Crops",11876,147.81,40534.39,279.99
"2016","Gambella","Mejenger","Root Crops",9573,31.43,0,0
"2005","Benishangul Gumuz","Metekel","Root Crops",13579,267,33930,350.25
"2006","Benishangul Gumuz","Metekel","Root Crops",16685,299.85,33984.76,388.02
"2007","Benishangul Gumuz","Metekel","Root Crops",17139,94.8,4196.48,89.46
"2008","Benishangul Gumuz","Metekel","Root Crops",17642,198.22,22054.49,346.71
"2011","Benishangul Gumuz","Metekel","Root Crops",21691,49.95,6093.55,121.99
"2012","Benishangul Gumuz","Metekel","Root Crops",30201,80.23,9786.95,121.99
"2013","Benishangul Gumuz","Metekel","Root Crops",26061,208.35,12544.67,143.01
"2014","Benishangul Gumuz","Metekel","Root Crops",20452,74.1,0,0
"2015","Benishangul Gumuz","Metekel","Root Crops",24984,139.77,18904.31,252.5
"2016","Benishangul Gumuz","Metekel","Root Crops",23820,228.73,26118.7,162.81
"2008","Gambella","Mezhenger","Root Crops",9318,106.65,8233.24,80
"2009","Gambella","Mezhenger","Root Crops",976,0.55,80.87,147.04
"2005","Amhara","North Gondar","Root Crops",183507,4187,451256,373.32
"2006","Amhara","North Gondar","Root Crops",190538,4606.11,387314.9,399.85
"2007","Amhara","North Gondar","Root Crops",225329,4280.51,342839.97,193.22
"2008","Amhara","North Gondar","Root Crops",207652,3884.34,386993.71,216.35
"2009","Amhara","North Gondar","Root Crops",181947,3719,372704.48,216.35
"2011","Amhara","North Gondar","Root Crops",189514,3240.54,323736.4,224.06
"2012","Amhara","North Gondar","Root Crops",267663,4145.62,431468.42,224.06
"2013","Amhara","North Gondar","Root Crops",398826,7408.14,847657.28,262.38
"2014","Amhara","North Gondar","Root Crops",356286,6400.97,832059.04,251.22
"2015","Amhara","North Gondar","Root Crops",237850,3150.82,382358.04,237.89
"2016","Amhara","North Gondar","Root Crops",247783,4271.65,524412.69,231.77
"2005","Amhara","North Shewa","Root Crops",277425,3704,498235,506.49
"2006","Amhara","North Shewa","Root Crops",263909,3376.24,394563.28,435.23
"2007","Amhara","North Shewa","Root Crops",331583,4199.65,396096.64,385.01
"2008","Amhara","North Shewa","Root Crops",286586,716.1,69766.49,342.17
"2009","Amhara","North Shewa","Root Crops",355836,3134.62,362680.86,381.35
"2011","Amhara","North Shewa","Root Crops",297955,501.56,49360.51,257.12
"2012","Amhara","North Shewa","Root Crops",346869,1109.09,112553.06,352.19
"2013","Amhara","North Shewa","Root Crops",369997,1866.21,220063.14,300.48
"2014","Amhara","North Shewa","Root Crops",398475,6669.15,887030.14,463.68
"2015","Amhara","North Shewa","Root Crops",341050,1033.95,131708.49,291.07
"2016","Amhara","North Shewa","Root Crops",274875,1575,100314.42,87.51
"2005","Oromiya","North Shewa","Root Crops",103882,500,71769,491.54
"2006","Oromiya","North Shewa","Root Crops",114750,895.45,115270.66,409.02
"2008","Oromiya","North Shewa","Root Crops",128178,469.34,52699.75,220.53
"2011","Oromiya","North Shewa","Root Crops",89798,0,0,0
"2012","Oromiya","North Shewa","Root Crops",116947,4.82,510.74,105.96
"2013","Oromiya","North Shewa","Root Crops",165565,444.14,5453.84,13.08
"2014","Oromiya","North Shewa","Root Crops",191968,562.53,7415,74.6
"2015","Oromiya","North Shewa","Root Crops",151508,354.56,6840.11,14.13
"2016","Oromiya","North Shewa","Root Crops",131991,293.72,3464.74,11.8
"2007","Oromiya ","North Shewa","Root Crops",122349,435.39,44179.06,101.47
"2005","Tigray","North Western Tigray","Root Crops",9091,0,0,0
"2006","Tigray","North Western Tigray","Root Crops",1160,13.07,5.35,29.72
"2007","Tigray","North Western Tigray","Root Crops",12825,0,0,0
"2008","Tigray","North Western Tigray","Root Crops",11825,64.05,7015.69,231.2
"2009","Tigray","North Western Tigray","Root Crops",6605,18.57,2142.72,231.21
"2012","Tigray","North Western Tigray","Root Crops",1365,0,0,0
"2013","Tigray","North Western Tigray","Root Crops",5593,0,0,0
"2014","Tigray","North Western Tigray","Root Crops",3735,10.83,1504.06,138.88
"2016","Tigray","North Western Tigray","Root Crops",9867,16.92,85.46,5.05
"2005","Amhara","North Wollo","Root Crops",109711,920,131004,280.08
"2006","Amhara","North Wollo","Root Crops",129009,1871.98,111974.15,245.09
"2007","Amhara","North Wollo","Root Crops",130880,869.29,53645.16,138.9
"2008","Amhara","North Wollo","Root Crops",148810,1357.48,123089.74,179.48
"2009","Amhara","North Wollo","Root Crops",177651,1511.95,140367.19,307.34
"2011","Amhara","North Wollo","Root Crops",116525,1529.19,170146.82,326.07
"2012","Amhara","North Wollo","Root Crops",158126,1804.3,210110.98,326.07
"2013","Amhara","North Wollo","Root Crops",173402,1853.1,271269.22,443.24
"2014","Amhara","North Wollo","Root Crops",170155,1614.01,221405.14,413.24
"2015","Amhara","North Wollo","Root Crops",157425,855.24,123788.34,265.22
"2016","Amhara","North Wollo","Root Crops",138278,990.72,116798.18,210.32
"2005","Amhara","Oromiya","Root Crops",8453,0,0,0
"2006","Amhara","Oromiya","Root Crops",3744,27.21,1724.45,300.44
"2008","Amhara","Oromiya","Root Crops",2841,0,0,0
"2009","Amhara","Oromiya","Root Crops",9810,0,0,0
"2011","Amhara","Oromiya","Root Crops",2993,0,0,0
"2013","Amhara","Oromiya","Root Crops",6558,0,0,0
"2014","Amhara","Oromiya","Root Crops",3510,3.68,143.33,38.95
"2015","Amhara","Oromiya","Root Crops",3575,0,0,0
"2016","Amhara","Oromiya","Root Crops",2340,0,0,0
"2008","Benishangul Gumuz","Pawe ","Root Crops",1137,20.69,2221.44,107.37
"2009","Benishangul Gumuz","Pawe ","Root Crops",202,1.74,0,0
"2011","Oromiya","Qeleme Wellega","Root Crops",63905,643.51,55950.29,470.87
"2012","Oromiya","Qeleme Wellega","Root Crops",101363,1110.05,96194.88,470.96
"2013","Oromiya","Qeleme Wellega","Root Crops",97032,407.67,52596.47,401.41
"2014","Oromiya","Qeleme Wellega","Root Crops",90159,685.03,25190.36,181
"2015","Oromiya","Qeleme Wellega","Root Crops",100876,342.96,65135.07,304.12
"2016","Oromiya","Qeleme Wellega","Root Crops",123717,1573.72,712224.89,1016.79
"2013","SNNP","Segen","Root Crops",40319,361.44,26441.8,175.68
"2014","SNNP","Segen","Root Crops",29319,91.23,0,0
"2015","SNNP","Segen","Root Crops",26014,112.93,28121.74,348.14
"2016","SNNP","Segen","Root Crops",28692,253.96,39182.61,472.67
"2008","SNNP","Sheka","Root Crops",34418,945.8,78471.94,195.77
"2005","SNNP","SHEKA","Root Crops",21643,472,36371,211.21
"2006","SNNP","SHEKA","Root Crops",21171,422.05,34500.31,499.65
"2007","SNNP","SHEKA","Root Crops",25251,556.85,51271.63,259.86
"2011","SNNP","SHEKA","Root Crops",35163,913.95,76745.25,374.64
"2012","SNNP","SHEKA","Root Crops",46310,862.23,77201.1,463.31
"2013","SNNP","SHEKA","Root Crops",46741,897.79,216102.87,566.03
"2014","SNNP","SHEKA","Root Crops",51194,739.47,175694.08,356.14
"2015","SNNP","SHEKA","Root Crops",46303,751.66,170316.14,561.52
"2016","SNNP","SHEKA","Root Crops",58321,749.51,176817.32,441.88
"2005","Somali","Shinile","Root Crops",378,13,1383,218.95
"2006","Somali","Shinile","Root Crops",680,40.7,2649.62,157.78
"2007","Somali","Shinile","Root Crops",574,25.71,1884.75,151.38
"2011","Somali","Shinile","Root Crops",575,20.15,1806.77,89.67
"2012","Somali","Shinile","Root Crops",840,0,0,0
"2015","Somali","Shinile","Root Crops",211,1.15,95.81,83.31
"2005","SNNP","Sidama","Root Crops",207203,4865,393704,359.84
"2006","SNNP","Sidama","Root Crops",134643,3874.62,349017.91,566.58
"2007","SNNP","Sidama","Root Crops",153102,4220.8,253487.09,174.77
"2008","SNNP","Sidama","Root Crops",181326,2717.62,263125.57,311.67
"2011","SNNP","Sidama","Root Crops",389451,12862.56,1333830.04,335.46
"2012","SNNP","Sidama","Root Crops",292793,7521.69,45367.52,153.55
"2013","SNNP","Sidama","Root Crops",340762,6303.24,800716.25,519.37
"2014","SNNP","Sidama","Root Crops",478588,11118.74,1370143.87,528.79
"2015","SNNP","Sidama","Root Crops",496251,9281.86,1257474.41,295.09
"2016","SNNP","Sidama","Root Crops",463145,7079.98,806029.61,448.72
"2005","SNNP","Siliti","Root Crops",38272,52,113,91.8
"2006","SNNP","Siliti","Root Crops",40378,211.24,1617.06,199.92
"2007","SNNP","Siliti","Root Crops",56179,292.05,2340.47,208.86
"2008","SNNP","Siliti","Root Crops",55013,289.01,3824.46,214.7
"2009","SNNP","Siliti","Root Crops",63444,127.37,7707.24,296.01
"2011","SNNP","Siliti","Root Crops",37821,244.39,21250.71,304.58
"2012","SNNP","Siliti","Root Crops",40883,131.98,15534.24,244.38
"2013","SNNP","Siliti","Root Crops",28031,84.86,3011.09,250.05
"2014","SNNP","Siliti","Root Crops",23258,50.63,6683.22,132
"2015","SNNP","Siliti","Root Crops",27748,33.86,3268.12,96.52
"2016","SNNP","Siliti","Root Crops",15982,8.98,650.4,72.43
"2005","Amhara","South Gonder","Root Crops",280245,7306,668782,224.32
"2006","Amhara","South Gonder","Root Crops",308851,10295.75,477659.75,266.08
"2007","Amhara","South Gonder","Root Crops",284158,9580.86,696355.51,142.88
"2008","Amhara","South Gonder","Root Crops",234161,633.92,70447.6,111.13
"2009","Amhara","South Gonder","Root Crops",296903,9708.5,756377.18,186.23
"2011","Amhara","South Gonder","Root Crops",243134,7352.75,592860.35,192.99
"2012","Amhara","South Gonder","Root Crops",234984,6525.38,525892.96,192.99
"2013","Amhara","South Gonder","Root Crops",374108,8596.08,1202660.01,257.48
"2014","Amhara","South Gonder","Root Crops",372883,8476.93,1166332.73,240.29
"2015","Amhara","South Gonder","Root Crops",248650,6828.99,1005406.63,252.65
"2016","Amhara","South Gonder","Root Crops",298263,9376.54,1412395.95,251.01
"2005","SNNP","South Omo","Root Crops",39941,966,93675,320.66
"2006","SNNP","South Omo","Root Crops",49585,1287.61,78476.47,408.41
"2007","SNNP","South Omo","Root Crops",59747,1304.7,117523.79,277.58
"2008","SNNP","South Omo","Root Crops",68458,1874.33,165802.05,310.13
"2009","SNNP","South Omo","Root Crops",423,0,0,0
"2011","SNNP","South Omo","Root Crops",46645,1230.15,112311.81,191.23
"2012","SNNP","South Omo","Root Crops",58799,1537.23,130457.86,191.23
"2013","SNNP","South Omo","Root Crops",87638,2986.95,583026.24,499.04
"2014","SNNP","South Omo","Root Crops",78299,2555.14,460460.33,346.32
"2015","SNNP","South Omo","Root Crops",59718,1129.64,254572.62,738.86
"2016","SNNP","South Omo","Root Crops",107378,1783.04,383083.43,579.51
"2005","Tigray","South Tigray","Root Crops",51146,1083,141646,364.94
"2006","Tigray","South Tigray","Root Crops",46047,644.3,76340.67,427.2
"2007","Tigray","South Tigray","Root Crops",55097,207.38,23077.53,111.28
"2008","Tigray","South Tigray","Root Crops",43106,463.36,50107.09,323.65
"2009","Tigray","South Tigray","Root Crops",50291,313.91,44151.07,140.65
"2011","Tigray","South Tigray","Root Crops",29362,563.61,82087.47,292.83
"2012","Tigray","South Tigray","Root Crops",100026,456.83,65662.32,420.7
"2013","Tigray","South Tigray","Root Crops",47198,652.02,0,0
"2014","Tigray","South Tigray","Root Crops",38941,217.39,0,0
"2015","Tigray","South Tigray","Root Crops",38746,590.04,34683.05,117.01
"2016","Tigray","South Tigray","Root Crops",24125,416.51,17765.52,42.65
"2005","Oromiya","South West Shewa","Root Crops",94770,365,45358,378.8
"2006","Oromiya","South West Shewa","Root Crops",79683,1354.51,15659.73,302.64
"2008","Oromiya","South West Shewa","Root Crops",90642,428.45,35320,413.45
"2011","Oromiya","South West Shewa","Root Crops",107732,1017.69,84618.31,520.1
"2012","Oromiya","South West Shewa","Root Crops",179781,1292.28,50384.24,450.4
"2013","Oromiya","South West Shewa","Root Crops",223004,2290.94,41168.84,341.3
"2014","Oromiya","South West Shewa","Root Crops",239875,3230.26,40908.2,182.72
"2015","Oromiya","South West Shewa","Root Crops",172622,2262.7,186498.91,258.57
"2016","Oromiya","South West Shewa","Root Crops",253622,2941.43,240991.92,79.32
"2007","Oromiya ","South West Shewa","Root Crops",80642,408.65,12882.27,268.95
"2009","Oromiya ","South West Shewa","Root Crops",139842,975.18,80478,413.51
"2007","Amhara","South wolo","Root Crops",164485,871.13,50618.1,249.48
"2008","Amhara","South wolo","Root Crops",172664,1172.48,124245.04,322.35
"2005","Amhara","South Wolo","Root Crops",177137,1142,148006,375.99
"2006","Amhara","South Wolo","Root Crops",159254,1167.88,67615.5,307.8
"2009","Amhara","South Wolo","Root Crops",243666,986.55,100559.14,205.19
"2011","Amhara","South Wolo","Root Crops",177371,569.93,60663.03,106.44
"2012","Amhara","South Wolo","Root Crops",231142,1457.38,166216.7,340.54
"2013","Amhara","South Wolo","Root Crops",271994,1708.6,225804.58,303.93
"2014","Amhara","South Wolo","Root Crops",264510,1766.54,204969.77,293.72
"2015","Amhara","South Wolo","Root Crops",256739,1188.01,136167.11,407.63
"2016","Amhara","South Wolo","Root Crops",256546,1176.99,104315.52,258.54
"2005","Amhara","Wag Himra","Root Crops",6837,15,2243,150.02
"2006","Amhara","Wag Himra","Root Crops",16429,108.83,8339.88,862.72
"2007","Amhara","Wag Himra","Root Crops",18522,71.75,3622.47,97.8
"2008","Amhara","Wag Himra","Root Crops",13001,45.23,4891.6,108.15
"2009","Amhara","Wag Himra","Root Crops",22744,129.56,7142.59,108.16
"2011","Amhara","Wag Himra","Root Crops",20318,117.64,11467.58,199.86
"2012","Amhara","Wag Himra","Root Crops",26676,59.89,680.49,113.7
"2013","Amhara","Wag Himra","Root Crops",21142,76.27,12747.2,294.15
"2014","Amhara","Wag Himra","Root Crops",141950,2948.34,542324.63,277.9
"2015","Amhara","Wag Himra","Root Crops",31153,131.77,17820.49,250.97
"2016","Amhara","Wag Himra","Root Crops",37820,244.01,26509.09,177.64
